map_size,R@1_absolute_difference,R@5_absolute_difference,R@10_absolute_difference,mAP_absolute_difference,mean_positive_rank_absolute_difference
700,5.800481622797449e-17,1.9081958235744878e-17,9.280770596475918e-17,6.830607069546746e-10,0.0004290004289941862
800,5.800481622797449e-17,7.37257477290143e-17,6.114900252818245e-17,6.071532165918825e-17,1.1368683772161603e-13
900,5.800481622797449e-17,3.0357660829594124e-18,6.418476861114186e-17,2.8416189193358754e-10,0.0004290004289941862
1000,0.0,2.9002408113987244e-17,3.0357660829594124e-18,6.982261990806649e-17,0.0
1100,0.0,8.695301423333746e-17,1.6046192152785466e-17,2.949029909160572e-17,0.0
1200,0.0,5.800481622797449e-17,1.6046192152785466e-17,5.051275231426899e-10,0.0008580008582157461
1300,5.800481622797449e-17,4.466912950640278e-17,6.114900252818245e-17,5.811323644522304e-17,2.2737367544323206e-13
1400,5.800481622797449e-17,7.37257477290143e-17,6.071532165918825e-18,2.6020852139652106e-17,0.0
1500,5.800481622797449e-17,4.466912950640278e-17,6.114900252818245e-17,5.082535338776784e-10,0.0004290004289941862
1600,0.0,8.695301423333746e-17,8.933825901280557e-17,3.5039178893428446e-10,0.0004290004289941862
1700,5.800481622797449e-17,7.37257477290143e-17,8.933825901280557e-17,3.9547542584478235e-10,0.0
1800,0.0,1.6046192152785466e-17,3.209238430557093e-17,1.4375457421667015e-10,0.0004290004289941862
