map_size,query_count,R1_count_phase4,R1_count_L1,R1_count_difference,R5_count_phase4,R5_count_L1,R5_count_difference,R10_count_phase4,R10_count_L1,R10_count_difference,R@1_absolute_difference,R@5_absolute_difference,R@10_absolute_difference,mAP_absolute_difference,mean_rank_difference,equivalent_total_rank_sum_difference
700,2331,2,2,0,11,11,0,17,17,0,5.800481622797449e-17,1.9081958235744878e-17,9.280770596475918e-17,6.830608838964691e-10,0.0004290004289941862,0.9999999999854481
800,2331,2,2,0,6,6,0,9,9,0,5.800481622797449e-17,7.37257477290143e-17,6.114900252818245e-17,6.071532165918825e-17,-1.1368683772161603e-13,-2.6500401872908697e-10
900,2331,2,2,0,7,7,0,16,16,0,5.800481622797449e-17,3.0357660829594124e-18,6.418476861114186e-17,2.841619066787371e-10,0.0004290004289941862,0.9999999999854481
1000,2331,0,0,0,1,1,0,7,7,0,0.0,2.9002408113987244e-17,3.0357660829594124e-18,6.982261990806649e-17,0.0,0.0
1100,2331,0,0,0,3,3,0,4,4,0,0.0,8.695301423333746e-17,1.6046192152785466e-17,2.949029909160572e-17,0.0,0.0
1200,2331,0,0,0,2,2,0,4,4,0,0.0,5.800481622797449e-17,1.6046192152785466e-17,5.051274181919196e-10,-0.0008580008577609988,-1.9999999994408881
1300,2331,2,2,0,5,5,0,9,9,0,5.800481622797449e-17,4.466912950640278e-17,6.114900252818245e-17,5.811323644522304e-17,2.2737367544323206e-13,5.300080374581739e-10
1400,2331,2,2,0,6,6,0,14,14,0,5.800481622797449e-17,7.37257477290143e-17,6.071532165918825e-18,2.6020852139652106e-17,0.0,0.0
1500,2331,2,2,0,5,5,0,9,9,0,5.800481622797449e-17,4.466912950640278e-17,6.114900252818245e-17,5.082536687524286e-10,-0.0004290004289941862,-0.9999999999854481
1600,2331,0,0,0,3,3,0,10,10,0,0.0,8.695301423333746e-17,8.933825901280557e-17,3.503918891145652e-10,0.0004290004289941862,0.9999999999854481
1700,2331,2,2,0,6,6,0,10,10,0,5.800481622797449e-17,7.37257477290143e-17,8.933825901280557e-17,3.9547554467334045e-10,0.0,0.0
1800,2331,0,0,0,4,4,0,8,8,0,0.0,1.6046192152785466e-17,3.209238430557093e-17,1.4375449268466678e-10,-0.0004290004289941862,-0.9999999999854481
