ordered_group_id,query_id_a,query_id_b,sample_id_a,sample_id_b,sequence_a,sequence_b,sequence_gap,is_step1_pair,delta_E_degrees,delta_N_degrees,degree_space_displacement,crs_status,metric_distance_claim_allowed
Chuanmei__100,q_000000,q_000001,Chuanmei_100_000000,Chuanmei_100_000001,0,1,1,True,0.00020080555555068713,-2.0000000020559128e-06,0.00020081551518751813,UNVERIFIED,False
Chuanmei__100,q_000001,q_000002,Chuanmei_100_000001,Chuanmei_100_000002,1,2,1,True,0.00020530555556774743,-1.111111110674301e-06,0.0002053085622054806,UNVERIFIED,False
Chuanmei__100,q_000002,q_000003,Chuanmei_100_000002,Chuanmei_100_000003,2,3,1,True,0.00020852777777236042,-5.55555494941018e-08,0.00020852778517285896,UNVERIFIED,False
Chuanmei__100,q_000003,q_000004,Chuanmei_100_000003,Chuanmei_100_000004,3,4,1,True,0.00020872222222578785,-1.3888888972246605e-07,0.00020872226843582085,UNVERIFIED,False
Chuanmei__100,q_000004,q_000005,Chuanmei_100_000004,Chuanmei_100_000005,4,5,1,True,0.00020769444444113105,-4.999999987376214e-07,0.00020769504628591605,UNVERIFIED,False
Chuanmei__100,q_000005,q_000006,Chuanmei_100_000005,Chuanmei_100_000006,5,6,1,True,0.00020691666665584307,1.138888883644995e-06,0.00020691980090811648,UNVERIFIED,False
Chuanmei__100,q_000006,q_000007,Chuanmei_100_000006,Chuanmei_100_000007,6,7,1,True,0.0002084166666662668,-1.333333333519704e-06,0.000208420931583313,UNVERIFIED,False
Chuanmei__100,q_000007,q_000008,Chuanmei_100_000007,Chuanmei_100_000008,7,8,1,True,0.00020950000001107583,-1.111111110674301e-06,0.00020950294645312518,UNVERIFIED,False
Chuanmei__100,q_000008,q_000009,Chuanmei_100_000008,Chuanmei_100_000009,8,9,1,True,0.00020886111110485217,-1.8055555557339176e-06,0.00020886891526222432,UNVERIFIED,False
Chuanmei__100,q_000009,q_000010,Chuanmei_100_000009,Chuanmei_100_000010,9,10,1,True,0.00020769444444113105,1.6666666624587378e-07,0.00020769451131285997,UNVERIFIED,False
Chuanmei__100,q_000010,q_000011,Chuanmei_100_000010,Chuanmei_100_000011,10,11,1,True,0.0002090555555582796,-1.0000000010279564e-06,0.00020905794725334644,UNVERIFIED,False
Chuanmei__100,q_000011,q_000012,Chuanmei_100_000011,Chuanmei_100_000012,11,12,1,True,0.00020399999999654028,-2.7777776523407738e-08,0.00020400000188772866,UNVERIFIED,False
Chuanmei__100,q_000012,q_000013,Chuanmei_100_000012,Chuanmei_100_000013,12,13,1,True,0.00020874999999875854,-1.6388888894880438e-06,0.0002087564333290684,UNVERIFIED,False
Chuanmei__100,q_000013,q_000014,Chuanmei_100_000013,Chuanmei_100_000014,13,14,1,True,0.00020547222224820416,6.666666756416362e-07,0.00020547330376492176,UNVERIFIED,False
Chuanmei__100,q_000014,q_000015,Chuanmei_100_000014,Chuanmei_100_000015,14,15,1,True,0.0002096388888759293,-9.444444515338546e-07,0.00020964101627414484,UNVERIFIED,False
Chuanmei__100,q_000015,q_000016,Chuanmei_100_000015,Chuanmei_100_000016,15,16,1,True,0.00020683333332272014,-5.000000058430487e-07,0.00020683393767318093,UNVERIFIED,False
Chuanmei__100,q_000016,q_000017,Chuanmei_100_000016,Chuanmei_100_000017,16,17,1,True,8.888888913816118e-07,-0.00017944444444140117,0.00017944664601029557,UNVERIFIED,False
Chuanmei__100,q_000017,q_000018,Chuanmei_100_000017,Chuanmei_100_000018,17,18,1,True,-0.00020755555553364502,-4.444444421380922e-07,0.00020755603138367757,UNVERIFIED,False
Chuanmei__100,q_000018,q_000019,Chuanmei_100_000018,Chuanmei_100_000019,18,19,1,True,-0.00020811111113516745,1.8055555521812039e-06,0.00020811894341641758,UNVERIFIED,False
Chuanmei__100,q_000019,q_000020,Chuanmei_100_000019,Chuanmei_100_000020,19,20,1,True,-0.00021038888888824658,-1.9444444276928152e-07,0.00021038897874240536,UNVERIFIED,False
Chuanmei__100,q_000020,q_000021,Chuanmei_100_000020,Chuanmei_100_000021,20,21,1,True,-0.00020658333332335133,-2.8333333332852817e-06,0.00020660276228735275,UNVERIFIED,False
Chuanmei__100,q_000021,q_000022,Chuanmei_100_000021,Chuanmei_100_000022,21,22,1,True,-0.0002057777777793035,7.222222215830243e-07,0.0002057790451740064,UNVERIFIED,False
Chuanmei__100,q_000022,q_000023,Chuanmei_100_000022,Chuanmei_100_000023,22,23,1,True,-0.00020888888889203372,7.777777781825534e-07,0.00020889033687756034,UNVERIFIED,False
Chuanmei__100,q_000023,q_000024,Chuanmei_100_000023,Chuanmei_100_000024,23,24,1,True,-0.00020888888890624457,3.3333333249174757e-07,0.00020888915486352071,UNVERIFIED,False
Chuanmei__100,q_000024,q_000025,Chuanmei_100_000024,Chuanmei_100_000025,24,25,1,True,-0.00020966666663468914,2.777777794449321e-07,0.00020966685064214758,UNVERIFIED,False
Chuanmei__100,q_000025,q_000026,Chuanmei_100_000025,Chuanmei_100_000026,25,26,1,True,-0.0002071666666836336,1.1388888943031361e-06,0.00020716979715373887,UNVERIFIED,False
Chuanmei__100,q_000026,q_000027,Chuanmei_100_000026,Chuanmei_100_000027,26,27,1,True,-0.0002065555555645915,-8.888888984870391e-07,0.000206557468173075,UNVERIFIED,False
Chuanmei__100,q_000027,q_000028,Chuanmei_100_000027,Chuanmei_100_000028,27,28,1,True,-0.00021016666667605932,6.388888920128011e-07,0.00021016763775791496,UNVERIFIED,False
Chuanmei__100,q_000028,q_000029,Chuanmei_100_000028,Chuanmei_100_000029,28,29,1,True,-0.00020613888888476595,1.6666666624587378e-07,0.00020613895626111898,UNVERIFIED,False
Chuanmei__100,q_000029,q_000030,Chuanmei_100_000029,Chuanmei_100_000030,29,30,1,True,-0.0002090555555582796,2.777777794449321e-07,0.00020905574010362805,UNVERIFIED,False
Chuanmei__100,q_000030,q_000031,Chuanmei_100_000030,Chuanmei_100_000031,30,31,1,True,-0.00022547222219770902,-7.111111109736612e-06,0.00022558433208888441,UNVERIFIED,False
Chuanmei__100,q_000031,q_000032,Chuanmei_100_000031,Chuanmei_100_000032,31,32,1,True,-0.00019158333336122269,1.263888888658471e-05,0.00019199977899488535,UNVERIFIED,False
Chuanmei__100,q_000032,q_000033,Chuanmei_100_000032,Chuanmei_100_000033,32,33,1,True,-0.00021033333331388349,-5.361111114154937e-06,0.00021040164594248668,UNVERIFIED,False
Chuanmei__100,q_000033,q_000034,Chuanmei_100_000033,Chuanmei_100_000034,33,34,1,True,-1.47222222324217e-06,-0.00017874999999634156,0.00017875606265793257,UNVERIFIED,False
Chuanmei__100,q_000034,q_000035,Chuanmei_100_000034,Chuanmei_100_000035,34,35,1,True,0.0002150277777843712,3.0555555596833983e-07,0.00021502799488225412,UNVERIFIED,False
Chuanmei__100,q_000035,q_000036,Chuanmei_100_000035,Chuanmei_100_000036,35,36,1,True,0.00020430555555606134,1.1111110609363095e-07,0.00020430558576981872,UNVERIFIED,False
Chuanmei__100,q_000036,q_000037,Chuanmei_100_000036,Chuanmei_100_000037,36,37,1,True,0.00020727777777551637,2.250000004977437e-06,0.00020728998928934978,UNVERIFIED,False
Chuanmei__100,q_000037,q_000038,Chuanmei_100_000037,Chuanmei_100_000038,37,38,1,True,0.00020477777778182826,2.388888887594476e-06,0.00020479171141279403,UNVERIFIED,False
Chuanmei__100,q_000038,q_000039,Chuanmei_100_000038,Chuanmei_100_000039,38,39,1,True,0.00020688888888287238,1.3611111100431117e-06,0.00020689336617360016,UNVERIFIED,False
