sample_key,dataset_partition,sample_id,site_token,nominal_level_token,sequence_token,uav_E,uav_N,gps_member,uav_member,coordinate_schema,crs_status,nominal_level_status,uav_crc32,uav_file_size,query_id,sequence_index,ordered_group_id,sequence_provenance,verified_timestamp_available,verified_fixed_frame_interval
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000000,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000000,Chuanmei,100,0,120.33541119444445,30.324272861111112,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000000/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000000/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3971695586,43947,q_000000,0,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000001,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000001,Chuanmei,100,1,120.335612,30.32427086111111,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000001/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000001/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,603878554,43638,q_000001,1,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000002,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000002,Chuanmei,100,2,120.33581730555557,30.32426975,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000002/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000002/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2111469428,43850,q_000002,2,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000003,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000003,Chuanmei,100,3,120.33602583333334,30.32426969444445,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000003/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000003/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3711355138,44586,q_000003,3,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000004,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000004,Chuanmei,100,4,120.33623455555556,30.32426955555556,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000004/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000004/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1199875505,44556,q_000004,4,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000005,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000005,Chuanmei,100,5,120.33644225,30.32426905555556,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000005/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000005/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2336841434,44537,q_000005,5,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000006,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000006,Chuanmei,100,6,120.33664916666666,30.324270194444445,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000006/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000006/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,4077772246,43906,q_000006,6,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000007,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000007,Chuanmei,100,7,120.33685758333333,30.32426886111111,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000007/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000007/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,599405093,43560,q_000007,7,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000008,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000008,Chuanmei,100,8,120.33706708333334,30.32426775,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000008/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000008/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3124785957,43131,q_000008,8,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000009,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000009,Chuanmei,100,9,120.33727594444444,30.324265944444445,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000009/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000009/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2886769417,42699,q_000009,9,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000010,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000010,Chuanmei,100,10,120.33748363888888,30.32426611111111,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000010/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000010/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2253551756,42662,q_000010,10,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000011,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000011,Chuanmei,100,11,120.33769269444444,30.32426511111111,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000011/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000011/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2916203798,42866,q_000011,11,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000012,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000012,Chuanmei,100,12,120.33789669444444,30.324265083333334,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000012/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000012/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3049079092,43978,q_000012,12,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000013,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000013,Chuanmei,100,13,120.33810544444444,30.324263444444444,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000013/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000013/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1033803734,44515,q_000013,13,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000014,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000014,Chuanmei,100,14,120.33831091666669,30.32426411111112,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000014/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000014/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,991543343,43990,q_000014,14,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000015,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000015,Chuanmei,100,15,120.33852055555556,30.324263166666668,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000015/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000015/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3729843283,43418,q_000015,15,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000016,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000016,Chuanmei,100,16,120.33872738888888,30.324262666666662,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000016/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000016/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2349455095,44412,q_000016,16,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000017,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000017,Chuanmei,100,17,120.33872827777778,30.32408322222222,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000017/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000017/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3126209008,42092,q_000017,17,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000018,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000018,Chuanmei,100,18,120.33852072222224,30.32408277777778,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000018/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000018/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2343242236,42077,q_000018,18,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000019,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000019,Chuanmei,100,19,120.3383126111111,30.32408458333333,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000019/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000019/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,284730504,43039,q_000019,19,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000020,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000020,Chuanmei,100,20,120.33810222222222,30.32408438888889,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000020/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000020/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2184592529,44464,q_000020,20,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000021,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000021,Chuanmei,100,21,120.3378956388889,30.324081555555555,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000021/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000021/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2348995675,44555,q_000021,21,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000022,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000022,Chuanmei,100,22,120.33768986111112,30.324082277777777,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000022/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000022/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1073632848,43951,q_000022,22,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000023,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000023,Chuanmei,100,23,120.33748097222222,30.324083055555555,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000023/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000023/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,933273897,44156,q_000023,23,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000024,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000024,Chuanmei,100,24,120.33727208333332,30.324083388888887,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000024/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000024/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1555408738,43852,q_000024,24,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000025,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000025,Chuanmei,100,25,120.33706241666668,30.324083666666667,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000025/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000025/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2249083591,43930,q_000025,25,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000026,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000026,Chuanmei,100,26,120.33685525,30.32408480555556,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000026/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000026/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1638548041,44036,q_000026,26,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000027,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000027,Chuanmei,100,27,120.33664869444443,30.324083916666662,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000027/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000027/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3571831812,43477,q_000027,27,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
