ordered_group_id,site_token,nominal_level_token,sample_count,sequence_min,sequence_max,duplicate_sequence_count,adjacent_pair_count,consecutive_step1_pairs,gap_pairs,reverse_or_duplicate_pairs,max_sequence_gap,median_sequence_gap,degree_step_median,degree_step_p95,degree_step_max
Chuanmei__100,Chuanmei,100,200,0,199,0,199,199,0,0,1,1.0,0.00020785044035556797,0.00021114440435416308,0.00022558433208888441
Chuanmei__80,Chuanmei,80,200,0,199,0,199,199,0,0,1,1.0,0.00020781201812933956,0.00021311369733271486,0.00021835799444042193
Chuanmei__90,Chuanmei,90,200,0,199,0,199,199,0,0,1,1.0,0.00020766675770018543,0.00021229015122594468,0.0002172403551505321
Hangdian__100,Hangdian,100,177,0,176,0,176,176,0,0,1,1.0,0.00020759145303143195,0.00021210387003472308,0.0002233688646273745
Hangdian__80,Hangdian,80,177,0,176,0,176,176,0,0,1,1.0,0.00020781989366612129,0.00020970799691258352,0.0002120873517375987
Hangdian__90,Hangdian,90,177,0,176,0,176,176,0,0,1,1.0,0.00020769983124381764,0.00021001435916218327,0.000216975664659038
Jinrong__100,Jinrong,100,200,0,199,0,199,199,0,0,1,1.0,0.00020769504630014399,0.00021211873510040678,0.00021458730491616068
Jinrong__80,Jinrong,80,200,0,199,0,199,199,0,0,1,1.0,0.00020764626890632318,0.0002109119821568608,0.0002277789515535002
Jinrong__90,Jinrong,90,200,0,199,0,199,199,0,0,1,1.0,0.00020755745892727523,0.0002112691878257144,0.00022603110958241749
Ligong__100,Ligong,100,200,0,199,0,199,199,0,0,1,1.0,0.0002075002249757631,0.00021070304089538074,0.00021516696968700748
Ligong__80,Ligong,80,200,0,199,0,199,199,0,0,1,1.0,0.00020765263057218682,0.00021125812533608155,0.0002146526407387784
Ligong__90,Ligong,90,200,0,199,0,199,199,0,0,1,1.0,0.00020769927586812713,0.00021046743658839019,0.0002259914797486983
