mat_file,variable_name,shape,dtype,required_variable,file_schema_valid,missing_required_variables
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,name,"(1,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,query_name,"(1,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,gallery_name,"(1,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,gallery_f,"(951, 768)",single,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,gallery_label,"(1, 951)",int64,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,gallery_path,"(951,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,query_f,"(37854, 768)",single,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,query_label,"(1, 37854)",int64,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,query_path,"(37854,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,name,"(1,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,query_name,"(1,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,gallery_name,"(1,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,gallery_f,"(51354, 768)",single,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,gallery_label,"(1, 51354)",int64,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,gallery_path,"(51354,)",char,False,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,query_f,"(701, 768)",single,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,query_label,"(1, 701)",int64,True,True,
/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,query_path,"(701,)",char,False,True,
