relative_path,filename,extension,size_bytes,sha256
FoundationModel/backbones/ConvNeXt.py,ConvNeXt.py,.py,11773,51865225166e1a76503d08576e5a192ae899e1f5b15d053e9f7c12b171b24b52
FoundationModel/backbones/ConvNeXt_bn.py,ConvNeXt_bn.py,.py,9824,81e53e3bb04f8b093055a37b0130ac97199c40d35d8b0de82ad48615a63fab27
FoundationModel/backbones/__init__.py,__init__.py,.py,182,a63d9aee0a956d4ca9224f1279a9f36445e04cb6cfdda403aabd93e89f009a41
FoundationModel/backbones/__pycache__/ConvNeXt.cpython-311.pyc,ConvNeXt.cpython-311.pyc,.pyc,16025,21a84c0a232ed43d5ec118d53a37b727f0bbbcc3e107550e4fb3c86264f0b2ad
FoundationModel/backbones/__pycache__/ConvNeXt.cpython-312.pyc,ConvNeXt.cpython-312.pyc,.pyc,14860,8d8bd8b4c09383e80b32548e252060503015a2880bb5db8f7d822c6edd784f0b
FoundationModel/backbones/__pycache__/ConvNeXt_bn.cpython-311.pyc,ConvNeXt_bn.cpython-311.pyc,.pyc,14416,41066a4bd9e15ee288dcc4934ba4096a0b4be09c1733b241d959303d88a99906
FoundationModel/backbones/__pycache__/ConvNeXt_bn.cpython-312.pyc,ConvNeXt_bn.cpython-312.pyc,.pyc,12959,63507863540c6dbe4e8ed8e47dca6436b3a1d003137755a2b37805248e5eb5c7
FoundationModel/backbones/__pycache__/__init__.cpython-310.pyc,__init__.cpython-310.pyc,.pyc,235,4647026fc7767ec8f7ddd850c119e02cc6f6251356a9f35c9d9b20d6b873b978
FoundationModel/backbones/__pycache__/__init__.cpython-311.pyc,__init__.cpython-311.pyc,.pyc,482,01d7536d056ed99422c40ea66e2fc02cc490ea17895acf8d75b3d191501ff51e
FoundationModel/backbones/__pycache__/__init__.cpython-312.pyc,__init__.cpython-312.pyc,.pyc,466,3afa4a4667b663ca7cd55772323d35239bfe6a2476d69057e828f985d5836144
FoundationModel/backbones/__pycache__/dinov2.cpython-310.pyc,dinov2.cpython-310.pyc,.pyc,2436,7e894d5fa1543f033c1750916f3b18b7d8851e34ac9206ca1b8446e10ce14fc9
FoundationModel/backbones/__pycache__/dinov2.cpython-311.pyc,dinov2.cpython-311.pyc,.pyc,8309,f3c0920fb72e9644e92c686611b7a7cc8c3c602b532f194fb1a1b79a2478f12a
FoundationModel/backbones/__pycache__/dinov2.cpython-312.pyc,dinov2.cpython-312.pyc,.pyc,4007,b961c0b7d6e5d784163204a27748528c49e0072d661508f834865b61ef7484cc
FoundationModel/backbones/__pycache__/dinov2_text3.cpython-312.pyc,dinov2_text3.cpython-312.pyc,.pyc,9067,d70f44be0743573d38c73527ec3eb544de4ca5a499f7a2141fef7074f14be5cb
FoundationModel/backbones/__pycache__/dinov3.cpython-311.pyc,dinov3.cpython-311.pyc,.pyc,2438,fdfa43d29b2d7482803b9f6e0ce7dbce19c2bf923b945b8197db02b15fbe04a6
FoundationModel/backbones/__pycache__/model_convnext.cpython-312.pyc,model_convnext.cpython-312.pyc,.pyc,13644,a33cd43940c3ec32cf2d90efd50cf454de652d5729de40f99d0f83106888815a
FoundationModel/backbones/__pycache__/osnet.cpython-311.pyc,osnet.cpython-311.pyc,.pyc,24304,2b0040582da47da9f2c057862fca39d971473a425c2ae6d8e9410241930dbda7
FoundationModel/backbones/__pycache__/osnet.cpython-312.pyc,osnet.cpython-312.pyc,.pyc,21271,1bec52949ae1d429cc1ad262921c922b90210b3fe99f6a9896f125020d4436ee
FoundationModel/backbones/__pycache__/resnet.cpython-310.pyc,resnet.cpython-310.pyc,.pyc,2942,e7affad56d684c8ca4a0c88eba0fd1e09925dde198d312a5afec95ccfa7f0443
FoundationModel/backbones/__pycache__/resnet.cpython-311.pyc,resnet.cpython-311.pyc,.pyc,5341,71e37c068b653cf67d165e73385df1e64f422e571706f96a564aa87bbe38bbb6
FoundationModel/backbones/__pycache__/resnet.cpython-312.pyc,resnet.cpython-312.pyc,.pyc,5267,efc66d8cfba1fd6eb9fee5eb8676afb9b2e08250ddccc3c25874c691fcefec68
FoundationModel/backbones/dinov2.py,dinov2.py,.py,5306,a9eec759b231cb444c66dac03a74f4faf9ac53219f0a283566ab6215b30dfd26
FoundationModel/backbones/dinov3.py,dinov3.py,.py,1996,dc9c14662206472a356bdadecdd4efb37b650cc30683ef53dbdc2564071a8367
FoundationModel/backbones/model_convnext.py,model_convnext.py,.py,9834,a36737e016a53ca21eee4b1d0f101526bb19f57d84d6975f5f7619c19a5d3f9b
FoundationModel/backbones/osnet.py,osnet.py,.py,17147,613945568fd23b397f8196d7d6d257bd3d9b054a5c5ede37a633a60170a6e124
FoundationModel/backbones/resnet.py,resnet.py,.py,4319,5a9e7f7b26b27148b67eaeea3c5fd59410a577338dee0647b62b1bc709195ddd
README.md,README.md,.md,5463,314bf30b846d6b5048b5ec9ccba24cf979351340137d0c497a65abc26b426331
README.md~,README.md~,.md~,4721,b902a87a0bee509102c1609fabf315ec40a607c5d8fbba673908534f64e6c203
Tools/evaluate_norm.py,evaluate_norm.py,.py,3920,43769fd65dec6f9650c519fc5aea151ad48b47f2276261deb75d0d45c4a792c1
assets/bubble_all.png,bubble_all.png,.png,596210,6fa88bff0735348f7e9cf4ec571ce95e04ff5113d1e500386eb0796011ec545f
assets/frame_work.png,frame_work.png,.png,1260680,bdfdf27becefa3f751c22b7fdba348db3df572b2fa98bb35ec296ed55e788f3d
assets/tx2.jpeg,tx2.jpeg,.jpeg,721858,f8a2b1fae766fe5c1bae7ba75c83b4f52926b2c4645c3cd03b34e181375b4fac
requirements.txt,requirements.txt,.txt,1156,0d78bb1486f44bcb67dae768efcdb352097378bb3d197e68daa74ac568afc3b7
