provenance_label,evaluation_type,asset_name,query_index,query_label,candidate_rank,gallery_index,gallery_label,score,is_positive
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,1,39,0,0.9996427893638611,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,2,41,0,0.9996049404144287,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,3,38,0,0.9996031522750854,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,4,40,0,0.9995949268341064,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,5,42,0,0.9995580911636353,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,6,37,0,0.9995508193969727,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,7,20,0,0.9995473027229309,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,8,21,0,0.9995464086532593,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,9,35,0,0.9995422959327698,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,0,0,10,36,0,0.9995397925376892,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,1,90,1,0.9996620416641235,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,2,89,1,0.9996610283851624,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,3,91,1,0.9996437430381775,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,4,95,1,0.9996171593666077,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,5,92,1,0.999616801738739,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,6,88,1,0.999606192111969,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,7,94,1,0.9995929598808289,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,8,87,1,0.9995781779289246,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,9,93,1,0.9995771050453186,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,1,1,10,86,1,0.9995754957199097,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,1,192,3,0.9996544718742371,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,2,190,3,0.9996060729026794,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,3,198,3,0.9996039271354675,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,4,195,3,0.9995945692062378,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,5,188,3,0.9995911121368408,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,6,193,3,0.9995904564857483,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,7,191,3,0.9995875954627991,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,8,197,3,0.9995783567428589,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,9,211,3,0.9995756149291992,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,2,3,10,196,3,0.9995749592781067,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,1,243,4,0.9994938373565674,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,2,261,4,0.9994440078735352,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,3,260,4,0.9994395971298218,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,4,245,4,0.9994307160377502,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,5,241,4,0.999428391456604,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,6,262,4,0.999426007270813,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,7,263,4,0.9994251728057861,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,8,226,4,0.9994050860404968,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,9,244,4,0.9993996024131775,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,3,4,10,259,4,0.9993778467178345,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,1,301,5,0.9992678761482239,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,2,319,5,0.9991946220397949,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,3,318,5,0.9991933107376099,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,4,302,5,0.9991120100021362,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,5,312,5,0.9991087913513184,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,6,300,5,0.9990988969802856,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,7,283,5,0.9990854263305664,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,8,292,5,0.9990818500518799,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,9,310,5,0.9990783333778381,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,4,5,10,313,5,0.9990519285202026,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,1,359,6,0.9994207620620728,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,2,351,6,0.9993848204612732,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,3,352,6,0.9993802309036255,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,4,370,6,0.9993140697479248,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,5,358,6,0.9992865324020386,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,6,369,6,0.9992837905883789,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,7,368,6,0.9992689490318298,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,8,362,6,0.999266505241394,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,9,334,6,0.9992496371269226,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,5,6,10,360,6,0.999244213104248,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,1,418,7,0.9996448755264282,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,2,421,7,0.9996329545974731,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,3,417,7,0.9996169209480286,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,4,408,7,0.9996077418327332,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,5,420,7,0.9996052980422974,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,6,404,7,0.9996011257171631,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,7,403,7,0.9995945692062378,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,8,422,7,0.9995938539505005,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,9,424,7,0.999579906463623,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,6,7,10,406,7,0.9995790123939514,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,7,8,1,467,8,0.9993394613265991,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,7,8,2,450,8,0.9993383884429932,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,7,8,3,449,8,0.999313473701477,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,7,8,4,455,8,0.9992886781692505,True
PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,second_S2D.mat,7,8,5,453,8,0.999286413192749,True
