analysis,condition,target_definition,claim_status,score,coverage,requested_coverage,accepted_trials,total_trials,accepted_positive_count,accepted_positive_rate,baseline_positive_rate,positive_rate_lift,observed_score_threshold,threshold_status
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_similarity_from_top5,1.0,1.0,27972,27972,14,0.0005005005005005005,0.0005005005005005005,1.0,-0.0989839285612106,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_similarity_from_top5,0.5,0.5,13986,27972,7,0.0005005005005005005,0.0005005005005005005,1.0,0.6893950700759888,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_similarity_from_top5,0.25,0.25,6993,27972,0,0.0,0.0005005005005005005,0.0,0.7710899710655212,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_similarity_from_top5,0.09999284999284999,0.1,2797,27972,0,0.0,0.0005005005005005005,0.0,0.8304750323295593,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_similarity_from_top5,0.05001430001430002,0.05,1399,27972,0,0.0,0.0005005005005005005,0.0,0.8585950136184692,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_similarity_from_top5,0.019984269984269984,0.02,559,27972,0,0.0,0.0005005005005005005,0.0,0.8866295218467712,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_similarity_from_top5,0.01001001001001001,0.01,280,27972,0,0.0,0.0005005005005005005,0.0,0.9020413160324096,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_top2_margin,1.0,1.0,27972,27972,14,0.0005005005005005005,0.0005005005005005005,1.0,0.0,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_top2_margin,0.5,0.5,13986,27972,7,0.0005005005005005005,0.0005005005005005005,1.0,0.011714369058609,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CLEAN_TOP1_CORRECTNESS,clean,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_INSUFFICIENT_POSITIVE_EVENTS,top1_top2_margin,0.25,0.25,6993,27972,3,0.000429000429000429,0.0005005005005005005,0.8571428571428572,0.0236693620681762,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
