analysis,condition,target_definition,claim_status,score_availability,score,coverage,requested_coverage,accepted_trials,total_trials,accepted_positive_count,accepted_positive_rate,baseline_positive_rate,positive_rate_lift,observed_score_threshold,threshold_status
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,1.0,1.0,27972,27972,13,0.0004647504647504648,0.0004647504647504648,1.0,-0.024138566106557846,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.5,0.5,13986,27972,7,0.0005005005005005005,0.0004647504647504648,1.0769230769230769,0.5939681529998779,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.25,0.25,6993,27972,2,0.000286000286000286,0.0004647504647504648,0.6153846153846154,0.6974140405654907,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.09999284999284999,0.1,2797,27972,0,0.0,0.0004647504647504648,0.0,0.7716476917266846,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.05001430001430002,0.05,1399,27972,0,0.0,0.0004647504647504648,0.0,0.8057663440704346,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.019984269984269984,0.02,559,27972,0,0.0,0.0004647504647504648,0.0,0.8379159569740295,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.01001001001001001,0.01,280,27972,0,0.0,0.0004647504647504648,0.0,0.8577245473861694,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_top2_margin,1.0,1.0,27972,27972,13,0.0004647504647504648,0.0004647504647504648,1.0,1.430511474609375e-06,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_top2_margin,0.5,0.5,13986,27972,5,0.0003575003575003575,0.0004647504647504648,0.7692307692307692,0.012005925178527832,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTED_TOP1_CORRECTNESS,blur_mild,TRUE_TOP1_RETRIEVAL_CORRECTNESS,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_top2_margin,0.25,0.25,6993,27972,3,0.000429000429000429,0.0004647504647504648,0.923076923076923,0.024283766746520996,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
