analysis,condition,target_definition,claim_status,score_availability,score,coverage,requested_coverage,accepted_trials,total_trials,accepted_positive_count,accepted_positive_rate,baseline_positive_rate,positive_rate_lift,observed_score_threshold,threshold_status
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,1.0,1.0,27972,27972,3779,0.1350993850993851,0.1350993850993851,1.0,-0.024138566106557846,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.5,0.5,13986,27972,1724,0.12326612326612327,0.1350993850993851,0.9124106906589045,0.5939681529998779,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.25,0.25,6993,27972,737,0.1053911053911054,0.1350993850993851,0.7801005557025669,0.6974140405654907,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.09999284999284999,0.1,2797,27972,271,0.09688952449052557,0.1350993850993851,0.717172209327595,0.7716476917266846,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.05001430001430002,0.05,1399,27972,128,0.091493924231594,0.1350993850993851,0.6772342018010445,0.8057663440704346,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.019984269984269984,0.02,559,27972,46,0.08228980322003578,0.1350993850993851,0.6091056828978144,0.8379159569740295,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_similarity,0.01001001001001001,0.01,280,27972,19,0.06785714285714285,0.1350993850993851,0.502275734321249,0.8577245473861694,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_top2_margin,1.0,1.0,27972,27972,3779,0.1350993850993851,0.1350993850993851,1.0,1.430511474609375e-06,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_top2_margin,0.5,0.5,13986,27972,2609,0.18654368654368655,0.1350993850993851,1.38078856840434,0.012005925178527832,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
CORRUPTION_TOP1_IDENTITY_STABILITY,blur_mild,CORRUPTED_TOP1_EQUALS_CLEAN_TOP1_NOT_TRUE_LOCALIZATION_CORRECTNESS,STABILITY_DIAGNOSTIC_ONLY,AVAILABLE_FROM_SINGLE_RETRIEVAL,top1_top2_margin,0.25,0.25,6993,27972,1728,0.2471042471042471,0.1350993850993851,1.8290553056364118,0.024283766746520996,DESCRIPTIVE_OBSERVED_QUANTILE_NOT_DEPLOYMENT_CALIBRATED
