frame_id,query_location_id,nominal_height,positive_tile_id,positive_rank,reciprocal_rank,top1_tile_id,top1_location_id,top1_score,top2_tile_id,top2_score,top1_top2_margin,top1_correct
drone_0002_150_0000,0002,150,sat_0002,1,1.0,sat_0002,0002,0.75031424,sat_0140,0.6151835,0.13513076,True
drone_0002_150_0001,0002,150,sat_0002,1,1.0,sat_0002,0002,0.76093435,sat_0027,0.5947269,0.16620743,True
drone_0002_150_0002,0002,150,sat_0002,1,1.0,sat_0002,0002,0.75176775,sat_0140,0.6041836,0.14758414,True
drone_0002_150_0003,0002,150,sat_0002,1,1.0,sat_0002,0002,0.73936474,sat_0140,0.6086263,0.13073844,True
drone_0002_150_0004,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7439661,sat_0140,0.61615777,0.12780833,True
drone_0002_150_0005,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7844033,sat_0140,0.62797225,0.15643108,True
drone_0002_150_0006,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7492744,sat_0140,0.5720452,0.17722917,True
drone_0002_150_0007,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7097149,sat_0164,0.6107858,0.09892911,True
drone_0002_150_0008,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7787547,sat_0140,0.59628356,0.18247116,True
drone_0002_150_0009,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7721655,sat_0140,0.60595626,0.16620922,True
drone_0002_150_0010,0002,150,sat_0002,1,1.0,sat_0002,0002,0.75291324,sat_0140,0.6071533,0.14575994,True
drone_0002_150_0011,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7706651,sat_0140,0.63910115,0.13156396,True
drone_0002_150_0012,0002,150,sat_0002,1,1.0,sat_0002,0002,0.80236626,sat_0140,0.6166864,0.18567985,True
drone_0002_150_0013,0002,150,sat_0002,1,1.0,sat_0002,0002,0.831171,sat_0140,0.58548605,0.24568492,True
drone_0002_150_0014,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8661288,sat_0140,0.57747734,0.28865147,True
drone_0002_150_0015,0002,150,sat_0002,1,1.0,sat_0002,0002,0.92153716,sat_0140,0.54924214,0.37229502,True
drone_0002_150_0016,0002,150,sat_0002,1,1.0,sat_0002,0002,0.91607445,sat_0140,0.489106,0.42696846,True
drone_0002_150_0017,0002,150,sat_0002,1,1.0,sat_0002,0002,0.90422946,sat_0140,0.49235353,0.41187593,True
drone_0002_150_0018,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8946291,sat_0140,0.4913801,0.40324903,True
drone_0002_150_0019,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8869001,sat_0140,0.4804794,0.40642074,True
drone_0002_150_0020,0002,150,sat_0002,1,1.0,sat_0002,0002,0.894297,sat_0140,0.50775385,0.38654315,True
drone_0002_150_0021,0002,150,sat_0002,1,1.0,sat_0002,0002,0.86102664,sat_0140,0.52242404,0.3386026,True
drone_0002_150_0022,0002,150,sat_0002,1,1.0,sat_0002,0002,0.87157464,sat_0140,0.5629928,0.30858183,True
drone_0002_150_0023,0002,150,sat_0002,1,1.0,sat_0002,0002,0.85134226,sat_0140,0.54390895,0.3074333,True
drone_0002_150_0024,0002,150,sat_0002,1,1.0,sat_0002,0002,0.80043036,sat_0140,0.5317888,0.26864153,True
drone_0002_150_0025,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7882498,sat_0140,0.5106102,0.27763957,True
drone_0002_150_0026,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7905952,sat_0140,0.5687573,0.22183788,True
drone_0002_150_0027,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8089862,sat_0140,0.62185246,0.18713373,True
drone_0002_150_0028,0002,150,sat_0002,1,1.0,sat_0002,0002,0.81636626,sat_0140,0.58686954,0.22949672,True
drone_0002_150_0029,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8368739,sat_0140,0.5808596,0.2560143,True
drone_0002_150_0030,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7974358,sat_0140,0.5587866,0.23864925,True
drone_0002_150_0031,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8096429,sat_0140,0.5824342,0.22720873,True
drone_0002_150_0032,0002,150,sat_0002,1,1.0,sat_0002,0002,0.84896886,sat_0140,0.62376904,0.22519982,True
drone_0002_150_0033,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8201788,sat_0140,0.55568635,0.26449245,True
drone_0002_150_0034,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8324569,sat_0140,0.52773285,0.30472404,True
drone_0002_150_0035,0002,150,sat_0002,1,1.0,sat_0002,0002,0.85961133,sat_0140,0.56977797,0.28983337,True
drone_0002_150_0036,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8469113,sat_0140,0.5193097,0.3276016,True
drone_0002_150_0037,0002,150,sat_0002,1,1.0,sat_0002,0002,0.82725465,sat_0164,0.5281452,0.29910946,True
drone_0002_150_0038,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7803924,sat_0164,0.52535295,0.25503945,True
drone_0002_150_0039,0002,150,sat_0002,1,1.0,sat_0002,0002,0.76457554,sat_0164,0.62794524,0.1366303,True
drone_0002_150_0040,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8377239,sat_0140,0.49903855,0.33868536,True
drone_0002_150_0041,0002,150,sat_0002,1,1.0,sat_0002,0002,0.79163194,sat_0040,0.4911164,0.30051553,True
drone_0002_150_0042,0002,150,sat_0002,1,1.0,sat_0002,0002,0.62675726,sat_0029,0.3981162,0.22864106,True
drone_0002_150_0043,0002,150,sat_0002,1,1.0,sat_0002,0002,0.6313992,sat_0040,0.448987,0.1824122,True
drone_0002_150_0044,0002,150,sat_0002,1,1.0,sat_0002,0002,0.702032,sat_0164,0.5169673,0.18506473,True
drone_0002_150_0045,0002,150,sat_0002,1,1.0,sat_0002,0002,0.7459174,sat_0164,0.53372765,0.21218973,True
drone_0002_150_0046,0002,150,sat_0002,2,0.5,sat_0164,0164,0.69996244,sat_0002,0.65260696,0.047355473,False
drone_0002_150_0047,0002,150,sat_0002,1,1.0,sat_0002,0002,0.81340843,sat_0140,0.53000396,0.28340447,True
drone_0002_150_0048,0002,150,sat_0002,1,1.0,sat_0002,0002,0.8127515,sat_0140,0.6001234,0.21262807,True
drone_0002_150_0049,0002,150,sat_0002,1,1.0,sat_0002,0002,0.81098187,sat_0140,0.6140712,0.19691068,True
drone_0007_150_0000,0007,150,sat_0007,3,0.3333333333333333,sat_0058,0058,0.8022263,sat_0071,0.8022263,0.0,False
drone_0007_150_0001,0007,150,sat_0007,3,0.3333333333333333,sat_0058,0058,0.8215389,sat_0071,0.8215389,0.0,False
drone_0007_150_0002,0007,150,sat_0007,3,0.3333333333333333,sat_0058,0058,0.8070961,sat_0071,0.8070961,0.0,False
drone_0007_150_0003,0007,150,sat_0007,3,0.3333333333333333,sat_0058,0058,0.8328257,sat_0071,0.8328257,0.0,False
drone_0007_150_0004,0007,150,sat_0007,3,0.3333333333333333,sat_0058,0058,0.8230025,sat_0071,0.8230025,0.0,False
drone_0007_150_0005,0007,150,sat_0007,4,0.25,sat_0058,0058,0.8004733,sat_0071,0.8004733,0.0,False
drone_0007_150_0006,0007,150,sat_0007,3,0.3333333333333333,sat_0058,0058,0.8128054,sat_0071,0.8128054,0.0,False
drone_0007_150_0007,0007,150,sat_0007,3,0.3333333333333333,sat_0058,0058,0.8364889,sat_0071,0.8364889,0.0,False
drone_0007_150_0008,0007,150,sat_0007,4,0.25,sat_0058,0058,0.8363725,sat_0071,0.8363725,0.0,False
drone_0007_150_0009,0007,150,sat_0007,4,0.25,sat_0058,0058,0.82888997,sat_0071,0.82888997,0.0,False
drone_0007_150_0010,0007,150,sat_0007,4,0.25,sat_0058,0058,0.8332349,sat_0071,0.8332349,0.0,False
