nominal_height,query_location_id,top1_location_id,confusion_count
150,0071,0058,50
200,0071,0058,50
250,0071,0058,50
300,0071,0058,50
150,0007,0058,43
200,0007,0058,31
300,0007,0008,29
250,0007,0008,22
250,0007,0058,15
150,0088,0152,11
150,0155,0144,10
300,0151,0186,8
200,0063,0056,7
200,0088,0152,6
200,0007,0008,5
150,0169,0144,4
300,0063,0056,4
150,0008,0198,3
150,0057,0164,3
150,0063,0056,3
150,0169,0008,3
200,0024,0057,3
300,0027,0140,3
200,0057,0164,2
200,0151,0186,2
200,0155,0144,2
250,0140,0164,2
300,0002,0140,2
300,0007,0058,2
300,0109,0155,2
150,0002,0164,1
150,0087,0088,1
150,0130,0002,1
200,0169,0007,1
250,0027,0140,1
250,0151,0186,1
300,0189,0192,1
